Emotion,keywords
neutral,know  ive worked sweat 
joy,greaaat older sister coming (sarcasm)
joy,rite aint gon work like feel wen look dwn tl hummm lets lets see
anger,absolutely unbelievable  people ashamed 
sadness,look  look old  look thirty 
joy,single text day 
sadness,parents miserable separated offspring struggle pay money misery  finally decided home 
sadness,ur worth ur seeking girls fb trying laid ur :(
joy,hello sir  good meet  
joy,ecstatic  like winning cap 23rd  
fear,quotrt   afraid tomorrow seen yesterday love today #lessquot
joy,  decorating xmas tree saltdough hearts amp stars little boys made joy
disgust,greece s largest hunting clubs  located northern port city salonica  said announcement  revolted  dog fights 
anger,learning quot  righteous blows clams up surveys situation amp obeys god spite satanic aggravationquot
anger,threw tv boxers morning haha thought that
fear,disquiet surrounds production  second generation  vaccines genetically engineered microbes fragments viruses 
sadness,  hope stay miss
joy,suddenly found talking sort language understand  got excited 
joy, father ( mother  matter  ) pleased boyfriend takes time chat 
surprise,5 ties china arrived today :) usps said shanghai #christmasmiracle
surprise,  je vois que ça clash chaud ici après tu dis que moi je termine les gens dis lui quelle arrête le coca aussi
sadness,today boring didnt mall didnt breaking dawn didnt friends
anger,lucy knew tell  said   got mad admitted d taken bush walks 
sadness,felt sad street kids queii square aotea square sniffing glue young went role performing clown
joy,received letter christmas present person seen years
fear,cycling country dog started running me growling barking trying bite foot
neutral,ok 
sadness,  ughhh im gonna tomorrow cuz im ceramics trip :(((( ill coach secret santa gift
fear,pride going backfire day
anger,recent months growing number federal judges lawyers voiced exasperation america s approach drugs 
joy,week grandparents putting crimbo decs exhausted pissing work tomorrow
joy,watching infant sleep lifes truly unalloyed pleasures
joy,re excited s major problem 
joy,  wassup you ready double brand new episode thurs fri know im excited
fear,sisters looked alarmed thought possible deterioration 
neutral,boss 
joy,dentist appointment gonna hour long
sadness,sadness came heard girlfriend loved got married man rebuff her
joy,going brings struggles amp frustration following heart brings amp expansion #jaqstone
surprise,american rejects grind #iminmiddleschool
anger,feel deadly parasitic consumes host host allows to like voluntary cancer
joy,daddys gonna teach drive snow :/
fear,afraid tomorrow seen yesterday love today #less
sadness,drives terrible today  kept slicing ball roughs sand traps 
fear,20th got summon appear court 28th 1985 subject impregnanting school girl feared standing court days time notice embarassed formal approach expected principal
disgust,good college coach molest children
anger,lin foh incensed  kept voice reached outside steps coroner s court 
joy,lazy absolutely fuck days
surprise,fant actress pantha du prince og field på vinyl på platekompaniet veldig gledelig overraskelse
surprise,  great night great weve gotta real soon :) #happythanksgiving
joy,buying way things ahhhhh work #killme
sadness,today start staying open 10pm nice knowing children
sadness,winning medal swimming contest
fear,walking countryside came dogs began barking me know tied loose afraid approaching me
joy,nice tie wearing 
sadness,sad old woman rose chair  dais  coats hang row hooks nailed wall 
anger,right 2 angry right 2 cruel~the way
joy,peter broderick music confluence (album)
anger,angry brother argument together fights time time times anger him
anger,experiencing stages grief finals week #bargaining #depression #acceptance #imgoingtofail
joy,dentist wisdom teeth consultation
sadness,years ago best friend died accident day birthday close felt sad loosing close friend
anger,charlotte reply  suddenly felt exasperated wearied hoops obliged jump 
surprise,people know pull dont care 
joy,stop seeking storm enjoy sun
surprise,  wow girlfriend pretty
surprise,possible recieving iphone 4s christmas recieving text message verizon congratulating
fear,afraid tomorrow seen yesterday love today #less
anger,ok free people skirt hide seeks
sadness,grandfather died
joy,gotta drive way national airport
joy,fuccz wit ctn day gt rt   fucs wit dem boys     dey sum real hood niggas im dusted
joy,santa bringing 4 star wars shirts christmas
sadness,holy crap got followers life great
disgust,ew dis unstable creature steve wilkos sex wit dad like calling bf like ew
fear,apparently rld aware details vanguard accident time  subsequent publication report accident reinforced disquiet 
fear,im scared drive cause im scared fail  im scared die cause im scared hell
surprise,4oo end night  (: rt tweets shout outs(: #hurry (:lt3 #muchlove
sadness,dejected allen added :  cant john aldridge chances like  quality finisher 
joy,creeped ex boyfriends twitter like month
sadness,  indeed irl time long overdue /cc  
sadness,right  ticket 
disgust,ppl smoke erday erday idk cuz dont job getting hits ppl weed me
anger,’ making blood boil 
anger,s riled 
sadness,apparently maldonado signed williams yearso sadly think rubens f1 driving life :/
anger,mother fucking bullshit god damn middle seat gonna long fucking flight
joy,  snowman raps ice ice baby
joy,talking bout dinner night lls
joy,learned lot today thanks mrs g stoked tuesday
fear,nt agitated 
fear,think im scared future holds wishing things those
joy,cold feel ill joys england illnessx
anger,fuck watching oireachtas report
fear,“  afraid tomorrow seen yesterday love today #less”
sadness,ate slice pizza ive felt life
sadness,  mom told play write science essay
sadness,  laura work week were coming you havent seen like forever
surprise,love taking unexpected pictures people
joy,started new branch studies failed one got exam papers happy know marks
sadness,end world 
neutral,honestly believe world ’ improving year 
sadness,got separated man loved
joy,blood test 7 am tomorrow
neutral,yes 
fear,nearly drowned icy water wearing ice skates difficult out
surprise,grateful sudden ability amazing omelette
surprise,  u night u topped free dinner
sadness,  butbut u cant miss u fake girlfriend fake love you #wellthisisawkward sorry
joy,back rick tea biscuits
fear,late night (around midnight) person asked lift suddenly tried attack escape followed little while
joy,felt elated  especially said   m looking actor like  
fear,walking dark saw strange
sadness,sooooooo mad acc championship work gotta do
surprise,music practice tonight happy uni result
surprise,  haha truee thinking shopping amp pick stuff split buy meet
sadness,brazilian lover looking increasingly disconsolate 
fear,im bleeding 
sadness,know hear right know  calm   wanna  ill drop tomorrow 
joy,life eyes open eyes closed  spiral convergence
sadness,grandmother passed away
neutral,yes 
fear,parents dropping school today
joy,comes radiated heat  #joyness sounding like were bowels tanker #hellskitchen #nyc
joy,happy 80th bday mom today happy 22nd anniversary hero hubby today
anger,realizing friend talked signing certain contract
joy,quotfresh wound cant talkquot cam brings #xa#modernfamily
fear,wat night feel like iv ran times 10 tone truck #help
surprise,aujourdhui jouvre une nouvelle liste : quotmes vitamines mentalesquot serezvous dedans 
joy,realized loved opposite sex
joy,#sorrow meet day limit 2012 holds #getonit
sadness,  mean this heart pains hear this
fear,hoe bitchamp nighaz da map iam sum otha shit#god knws iam:)blessed
joy,slept day feel accomplished time introduction phrases oh boy
sadness,stage normally expected experience grief main feeling shock 
surprise,vernam kortelings dat james van alias cpt slow een muzikant zou geweest zijn bij queen
surprise,  got robber clothes friendi let know im coming
surprise,gisteren sinterklaas gevierd en ik kreeg een ipad met microsoft word erop
anger,’ itching moving 
fear,secondary school prefect framed case took deputy headmaster called headmaster threatened suspend me
joy,work place want right =( mention freezinggg monthers yelled twice
joy,home time summer
fear,confronted policeman night 11 oclock afraid threatened girl gallows
sadness,sorry  sir  bought 2 weeks ago  refund week 
sadness,’ sorry sir  computer broken damaged  ’ simply old  ’ programs applications running slow  ’ 
joy,happy tweet: joy like good comes within convenient
sadness,yes chicken grandpa like turkey
anger,recent months growing number federal judges lawyers voiced exasperation america s approach drugs 
anger,wow rt   righteous blows clams up surveys situation amp obeys god spite satanic aggravation
neutral,ok 
fear,  girl told downloaded rated little 5 stars#xawaiting new project
